Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,12/10/2025 14:03,12/10/2025 14:09,XAUUSD,Buy,0.350,0.00000,0.00000,4199.66000,4200.91000,125.0,0.21,"",0,00:00:05:48,,,,,,,,,,,,
,12/10/2025 10:33,12/10/2025 10:35,XAUUSD,Sell,0.350,0.00000,0.00000,4201.91000,4203.30000,-139.0,-0.23,"",0,00:00:01:54,,,,,,,,,,,,
,12/10/2025 10:10,12/10/2025 10:24,XAUUSD,Sell,0.350,0.00000,0.00000,4201.36000,4206.40000,-504.0,-0.82,"",0,00:00:14:04,,,,,,,,,,,,
,12/09/2025 16:06,12/09/2025 16:11,XAUUSD,Sell,0.150,0.00000,0.00000,4195.21000,4191.01000,420.0,0.30,"",0,00:00:05:49,,,,,,,,,,,,
,12/09/2025 10:09,12/09/2025 10:15,XAUUSD,Buy,0.350,0.00000,0.00000,4187.19000,4188.25000,106.0,0.17,"",0,00:00:05:53,,,,,,,,,,,,
,12/08/2025 21:04,12/08/2025 21:30,XAUUSD,Sell,0.350,0.00000,0.00000,4184.28000,4187.73000,-345.0,-0.56,"",0,00:00:26:23,,,,,,,,,,,,
,12/08/2025 17:00,12/08/2025 17:01,XAUUSD,Sell,0.100,0.00000,0.00000,4192.69000,4194.20000,-151.0,-0.07,"",0,00:00:00:23,,,,,,,,,,,,
,12/08/2025 16:42,12/08/2025 16:56,XAUUSD,Sell,0.200,0.00000,0.00000,4200.41000,4209.29000,-888.0,-0.82,"",0,00:00:13:55,,,,,,,,,,,,
,12/08/2025 15:51,12/08/2025 16:11,XAUUSD,Sell,0.200,0.00000,0.00000,4200.43000,4209.00000,-857.0,-0.79,"",0,00:00:19:44,,,,,,,,,,,,
,12/08/2025 10:31,12/08/2025 10:31,XAUUSD,Sell,0.350,0.00000,0.00000,4208.02000,4207.32000,70.0,0.11,"",0,00:00:00:47,,,,,,,,,,,,
