Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
08/24/2021 03:57,08/24/2021 08:37,EURUSD,Buy,0.010,1.17072,1.17712,1.17392,1.17453,-0.0700,0.0000,6.1,0.54,0.44,7199174,00:04:40:08,53.6,2h 30m,5.1,0.72,6.1,0.61,-4.4,-0.44000000000000006,58.1,100.0,0.00,0.00
08/24/2021 03:57,08/24/2021 04:37,USDCAD,Sell,0.010,1.26887,1.26247,1.26567,1.26513,-0.0700,0.0000,5.4,0.36,0.30,7199174,00:00:40:40,75.0,30m,1.7,0.19,5.4,0.43200000000000005,-1.0,-0.08,84.4,100.0,0.00,0.00
08/24/2021 03:55,08/24/2021 04:14,GBPCHF,Sell,0.010,1.25581,1.24941,1.25261,1.25207,-0.0700,0.0000,5.4,0.52,0.43,7199174,00:00:19:09,,,,,,,,,,,,
08/20/2021 03:55,08/20/2021 04:36,USDCAD,Buy,0.010,1.27832,1.28472,1.28152,1.28267,-0.0700,0.0000,11.5,0.83,0.69,7199174,00:00:41:47,,,,,,,,,,,,
08/19/2021 03:58,08/19/2021 05:29,EURCHF,Buy,0.010,1.07054,1.07694,1.07374,1.07445,-0.0700,0.0000,7.1,0.70,0.59,7199174,00:01:30:44,100.0,1h 30m,0.6,0.14,7.2,0.792,0.0,0.0,100.0,98.6,-0.10,-0.01
08/19/2021 03:55,08/19/2021 05:27,USDCAD,Sell,0.010,1.27096,1.26456,1.26776,1.26907,-0.0700,0.0000,-13.1,-1.10,-0.91,7199174,00:01:32:08,16.7,15m,18.6,3.65,4.0,0.32,-14.6,-1.168,21.5,8.1,-17.10,-1.37
08/18/2021 03:56,08/18/2021 04:15,USDCAD,Sell,0.010,1.26694,1.26054,1.26374,1.26276,-0.0700,0.0000,9.8,0.71,0.59,7199174,00:00:18:17,,,,,,,,,,,,
08/17/2021 03:54,08/17/2021 08:27,EURUSD,Buy,0.010,1.17408,1.18048,1.17728,1.17712,-0.0700,0.0000,-1.6,-0.23,-0.19,7199174,00:04:32:28,16.7,45m,6.9,2.29,2.1,0.21000000000000002,-4.8,-0.48,30.4,46.4,-3.70,-0.37
08/17/2021 03:55,08/17/2021 06:01,USDCAD,Sell,0.010,1.26150,1.25510,1.25830,1.25971,-0.0700,0.0000,-14.1,-1.19,-0.98,7199174,00:02:05:14,0.0,0s,14.1,14.10,0.0,0.0,-14.1,-1.128,0.0,0.0,-14.10,-1.13
08/12/2021 03:55,08/12/2021 07:51,GBPCHF,Sell,0.010,1.28175,1.27535,1.27855,1.27805,-0.0700,0.0000,5.0,0.48,0.40,7199174,00:03:56:53,100.0,3h 56m,1.6,0.20,5.0,0.55,0.0,0.0,100.0,100.0,0.00,0.00
08/12/2021 03:55,08/12/2021 07:51,EURGBP,Buy,0.010,0.84316,0.84956,0.84636,0.84666,-0.0700,0.0000,3.0,0.35,0.29,7199174,00:03:56:43,87.5,3h 27m,1.3,0.33,3.0,0.42000000000000004,0.0,0.0,100.0,100.0,0.00,0.00
08/11/2021 03:55,08/11/2021 04:53,USDCAD,Sell,0.010,1.25594,1.24954,1.25274,1.25223,-0.0700,0.0000,5.1,0.34,0.28,7199174,00:00:58:27,,,,,,,,,,,,
