Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
04/30/2026 09:13,04/30/2026 14:45,CADJPY,Sell,0.010,123.45700,0.00000,117.45200,114.01300,-0.0300,0.0000,343.9,22.06,0.56,"",0,00:05:32:23,91.6,5h 4m,31.2,0.02,343.9,20.633999999999997,-6.0,-0.36,98.3,100.0,0.00,0.00
04/02/2026 04:43,04/30/2026 14:45,CADJPY,Sell,0.010,123.45700,0.00000,114.55500,114.01600,-0.0300,-1.6800,53.9,1.75,0.04,"",0,28:10:02:21,14.1,4d ,327.5,5.33,53.9,3.234,-287.4,-17.244,15.8,100.0,0.00,0.00
04/13/2026 19:30,04/30/2026 14:26,GBPJPY,Sell,0.010,223.06400,0.00000,215.03500,211.82100,-0.0500,-3.5900,321.4,16.89,0.43,"",0,16:18:55:51,25.5,4d 6h ,228.5,0.44,325.2,19.511999999999997,-141.6,-8.495999999999999,69.7,99.2,-3.80,-0.23
04/01/2026 17:20,04/30/2026 14:26,GBPJPY,Sell,0.010,223.06400,0.00000,211.08200,211.83100,-0.0500,-5.8700,-74.9,-10.71,-0.27,"",0,28:21:05:39,12.9,3d 17h ,586.3,9.70,54.8,3.288,-531.5,-31.89,9.3,77.9,-129.70,-7.78
04/01/2026 16:03,04/30/2026 14:03,CHFJPY,Sell,0.010,213.68300,0.00000,200.05400,199.87600,-0.0500,-0.6700,17.8,0.42,0.01,"",0,28:21:59:52,20.5,5d 22h ,525.6,4.85,89.8,5.388,-435.8,-26.148,17.1,86.3,-72.00,-4.32
03/30/2026 15:09,04/29/2026 16:20,USDJPY,Buy,0.010,147.21600,0.00000,159.44300,160.05000,-0.0400,1.2400,60.7,4.99,0.13,"",0,30:01:10:44,35.4,10d 15h ,210.4,2.15,74.0,4.4399999999999995,-159.2,-9.552,31.7,94.3,-13.30,-0.80
04/24/2026 14:22,04/27/2026 20:03,EURCAD,Sell,0.010,1.66950,0.00000,1.60310,1.59664,-0.0500,-0.0300,64.6,4.66,0.12,"",0,03:05:41:27,99.4,3d 5h ,43.9,0.07,66.1,4.627,-4.8,-0.336,93.2,97.9,-1.50,-0.11
04/24/2026 16:03,04/27/2026 12:07,EURAUD,Sell,0.010,1.74264,0.00000,1.64112,1.63419,-0.0500,0.0100,69.3,4.95,0.13,"",0,02:20:03:57,99.6,2d 19h ,22.8,0.07,69.3,4.851,-4.6,-0.322,93.8,100.0,0.00,0.00
04/17/2026 17:48,04/27/2026 11:29,AUDJPY,Buy,0.010,100.23500,0.00000,113.63100,114.36900,-0.0300,0.2400,73.8,4.85,0.12,"",0,09:17:40:58,97.1,9d 10h ,65.2,0.79,73.8,4.428,-58.5,-3.51,55.8,100.0,0.00,0.00
04/23/2026 03:19,04/27/2026 11:08,USDCAD,Sell,0.010,1.44742,0.00000,1.36698,1.36299,-0.0400,-0.1600,39.9,2.73,0.07,"",0,04:07:48:21,61.8,2d 16h ,51.9,1.03,42.2,2.9540000000000006,-43.3,-3.031,49.4,97.3,-2.30,-0.16
04/17/2026 22:01,04/27/2026 03:53,AUDCHF,Buy,0.010,0.52490,0.00000,0.56008,0.56230,-0.0300,0.2500,22.2,3.05,0.08,"",0,09:05:51:49,70.5,6d 12h ,42.1,1.75,22.8,2.9640000000000004,-40.0,-5.2,36.3,99.0,-0.60,-0.08
04/24/2026 14:43,04/27/2026 01:02,EURGBP,Sell,0.010,0.91455,0.00000,0.86806,0.86605,-0.0500,0.0200,20.1,2.68,0.07,"",0,02:10:18:41,99.8,2d 10h ,7.9,0.06,27.0,3.5100000000000002,-1.7,-0.221,94.1,76.0,-6.90,-0.90
01/15/2026 15:15,04/24/2026 16:36,GBPCHF,Buy,0.010,1.00653,0.00000,1.07361,1.06193,-0.0500,6.1400,-116.8,-8.75,-0.22,"",0,99:01:21:26,3.1,3d 1h ,425.6,28.82,14.3,1.8590000000000002,-411.3,-53.469,3.4,69.2,-131.10,-17.04
02/05/2026 16:58,04/24/2026 16:36,GBPCHF,Buy,0.010,1.00653,0.00000,1.05140,1.06193,-0.0500,4.8200,105.3,18.15,0.46,"",0,77:23:38:15,48.8,38d 1h ,245.3,1.67,113.5,14.755,-189.2,-24.596,37.5,97.3,-8.20,-1.07
02/27/2026 15:22,04/24/2026 16:36,GBPCHF,Buy,0.010,1.00653,0.00000,1.03761,1.06195,-0.0500,3.4400,243.4,34.31,0.88,"",0,56:01:14:35,95.6,53d 14h ,101.5,0.20,251.4,32.682,-51.3,-6.669,83.1,97.4,-8.00,-1.04
