Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
03/10/2026 11:05,03/10/2026 13:37,XAUUSD,Buy,0.010,5160.00000,0.00000,5177.87000,5158.07000,-1980.0,-1.41,0,00:02:32:25,69.8,1h 46m,6982.0,0.40,5002.0,,-1980.0,,71.6,0.0,-6982.00,
03/10/2026 04:26,03/10/2026 07:00,EURUSD,Buy,0.030,1.16070,0.00000,1.16160,1.16071,-8.9,-0.20,0,00:02:34:00,73.4,1h 53m,30.0,0.42,21.1,,-8.9,,70.3,0.0,-30.00,
03/09/2026 12:15,03/09/2026 13:51,XAUUSD,Buy,0.010,5085.55000,0.00000,5113.24000,5085.17000,-2807.0,-1.95,7864234,00:01:36:11,0.0,0s,3944.0,5000.00,0.0,,-3944.0,,0.0,28.8,-2807.00,
03/02/2026 12:09,03/09/2026 08:47,EURGBP,Sell,0.020,0.86730,0.00000,0.87675,0.86693,98.2,1.88,,06:20:38:02,100.0,6d 20h ,22.7,0.01,108.9,,0.0,,100.0,90.2,-10.70,
03/05/2026 15:51,03/05/2026 16:17,XAUUSD,Buy,0.010,5108.00000,0.00000,5124.20000,5107.36000,-1684.0,-1.18,0,00:00:26:41,0.0,0s,4742.0,5000.00,0.0,,-4742.0,,0.0,64.5,-1684.00,
03/05/2026 11:01,03/05/2026 15:17,XAUUSD,Buy,0.010,5135.70000,0.00000,5166.48000,5135.31000,-3117.0,-2.13,7864234,00:04:15:39,7.9,20m,9435.0,25.32,359.0,,-9076.0,,3.8,63.2,-3476.00,
03/04/2026 10:48,03/04/2026 16:48,XAUUSD,Buy,0.010,5155.00000,0.00000,5177.14000,5153.88000,-2326.0,-1.51,7864234,00:05:59:32,45.3,2h 42m,6865.0,1.66,2581.0,,-4284.0,,37.6,28.5,-4907.00,
03/04/2026 15:48,03/04/2026 15:59,XAUUSD,Buy,0.010,5169.98000,0.00000,5189.94000,5169.89000,-2005.0,-1.28,7864234,00:00:11:22,0.0,0s,4485.0,5000.00,0.0,,-4485.0,,0.0,55.3,-2005.00,
03/04/2026 00:06,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,0,00:00:00:00,,,,,,,,,,,,
02/10/2026 15:47,03/03/2026 12:08,USDCHF,Buy,0.010,0.00000,0.78640,0.76550,0.78642,209.2,1.81,7864234,20:20:21:29,100.0,20d 20h ,97.5,0.00,220.2,,0.0,,100.0,95.0,-11.00,
02/23/2026 06:49,03/03/2026 11:23,USDCHF,Buy,0.020,0.00000,0.78510,0.77252,0.78510,125.8,2.18,7864234,08:04:34:26,57.4,4d 16h ,96.4,0.37,150.0,,-55.2,,73.1,88.2,-24.20,
03/02/2026 16:25,03/02/2026 16:25,XAUUSD,Buy,0.010,5340.54000,0.00000,5350.54000,5340.50000,-1004.0,-0.69,7864234,00:00:00:31,,,,,,,,,,,,
03/02/2026 13:09,03/02/2026 16:10,XAUUSD,Buy,0.010,5364.90000,0.00000,5385.97000,5365.05000,-2092.0,-1.42,7864234,00:03:00:19,24.4,43m,13228.0,5.60,2004.0,,-11224.0,,15.1,69.0,-4096.00,
02/27/2026 19:50,02/27/2026 20:24,XAUUSD,Buy,0.010,5227.50000,0.00000,5236.19000,5227.55000,-864.0,-0.59,0,00:00:33:57,97.1,32m,3434.0,0.34,2570.0,,-864.0,,74.8,0.0,-3434.00,
02/27/2026 16:45,02/27/2026 18:24,XAUUSD,Buy,0.010,5223.66000,0.00000,5222.66000,5223.41000,75.0,0.05,7864234,00:01:38:54,100.0,1h 38m,1352.0,0.00,1427.0,,0.0,,100.0,5.3,-1352.00,
02/16/2026 10:07,02/27/2026 17:19,USDCHF,Buy,0.020,0.76804,0.00000,0.76804,0.76807,0.3,0.10,7864234,11:07:12:41,99.9,11d 6h ,91.4,0.05,87.3,,-4.1,,95.5,4.8,-87.00,
02/18/2026 18:22,02/27/2026 08:18,EURGBP,Sell,0.020,0.87600,0.00000,0.87202,0.87600,-39.8,-0.70,7864234,08:13:55:43,13.8,1d 4h ,55.8,3.65,12.0,,-43.8,,21.5,7.2,-51.80,
02/17/2026 11:53,02/27/2026 08:18,EURGBP,Sell,0.020,0.87600,0.00000,0.87144,0.87600,-45.6,-0.79,7864234,09:20:25:13,4.9,11h 35m,55.8,8.00,6.2,,-49.6,,11.1,7.2,-51.80,
02/26/2026 00:06,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,0,00:00:00:00,,,,,,,,,,,,
02/25/2026 14:49,02/25/2026 16:37,XAUUSD,Buy,0.010,5164.61000,0.00000,5184.05000,5161.76000,-2229.0,-1.46,7864234,00:01:48:32,89.9,1h 37m,4474.0,0.99,2245.0,,-2229.0,,50.2,0.0,-4474.00,
02/24/2026 17:02,02/25/2026 12:20,XAUUSD,Buy,0.010,5175.00000,0.00000,5119.95000,5174.72000,5477.0,3.66,0,00:19:18:25,100.0,19h 18m,4956.0,0.00,8919.0,,0.0,,100.0,61.4,-3442.00,
02/24/2026 14:12,02/24/2026 14:17,XAUUSD,Buy,0.020,5159.60000,0.00000,5165.97000,5159.05000,-692.0,-0.94,7864234,00:00:04:38,,,,,,,,,,,,
02/24/2026 05:48,02/24/2026 05:57,XAUUSD,Buy,0.030,5172.60000,0.00000,5177.75000,5172.50000,-525.0,-1.06,7864234,00:00:08:43,66.7,5m,1158.0,0.83,633.0,,-525.0,,54.7,0.0,-1158.00,
