Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
03/10/2025 21:08,03/11/2025 21:21,BTCUSD,Sell,0.010,78122.26000,82783.27000,0.0000,0.0000,-4661.0,-42.58,-1.34,"Master EA|BTCUSD|4h|High-Low Br[sl 82586.53]",7,01:00:13:38,,,,,,,,,,,,
03/11/2025 16:30,03/11/2025 17:00,BTCUSD,Buy,0.020,81448.98000,80588.38000,0.0000,0.0000,-860.6,-15.76,-0.49,"Master EA|BTCUSD|15m|Engulfing[sl 80567.28]",8,00:00:30:06,,,,,,,,,,,,
03/11/2025 03:29,03/11/2025 04:36,BTCUSD,Sell,0.010,77284.60000,78500.38000,0.0000,0.0000,-1215.8,-11.21,-0.35,"Master EA|BTCUSD|15m|High-Low B[sl 78495.99]",5,00:01:07:04,,,,,,,,,,,,
03/10/2025 17:15,03/10/2025 20:06,BTCUSD,Sell,0.010,79974.78000,78495.27000,0.0000,0.0000,1479.5,13.66,0.43,"Master EA|BTCUSD|15m|High-Low B[tp 78481.13]",5,00:02:51:16,,,,,,,,,,,,
03/10/2025 17:10,03/10/2025 17:15,US500,Sell,1.600,5664.30000,5677.10000,0.0000,0.0000,-51.2,-18.90,-0.59,"Master EA|US500|30m|High-Low Br[sl 5676.99]",11,00:00:05:15,,,,,,,,,,,,
03/10/2025 12:30,03/10/2025 12:54,BTCUSD,Buy,0.020,83234.74000,82357.03000,0.0000,0.0000,-877.7,-16.17,-0.50,"Master EA|BTCUSD|15m|Engulfing[sl 82345.24]",8,00:00:24:37,,,,,,,,,,,,
03/10/2025 01:17,03/10/2025 05:02,BTCUSD,Sell,0.060,81393.74000,81973.13000,0.0000,0.0000,-579.4,-32.03,-0.98,"Master EA|BTCUSD|1h|High-Low Br[sl 81969.38]",6,00:03:45:26,,,,,,,,,,,,
03/09/2025 15:06,03/09/2025 18:46,BTCUSD,Sell,0.010,84488.64000,82811.60000,0.0000,0.0000,1677.0,15.48,0.48,"Master EA|BTCUSD|15m|High-Low B[tp 82773.32]",5,00:03:40:19,,,,,,,,,,,,
03/07/2025 17:00,03/07/2025 17:49,XAUUSD,Buy,0.020,2927.21000,2910.79000,-0.1400,0.0000,-1642.0,-30.32,-0.92,"Master EA|XAUUSD|1h|Engulfing[sl 2911.50]",3,00:00:49:33,,,,,,,,,,,,
03/07/2025 17:40,03/07/2025 17:49,US500,Sell,1.200,5694.90000,5718.90000,0.0000,0.0000,-96.0,-26.53,-0.80,"Master EA|US500|4h|High-Low Bre[sl 5718.25]",14,00:00:08:23,,,,,,,,,,,,
03/07/2025 17:01,03/07/2025 17:29,XAUUSD,Buy,0.050,2929.99000,2923.08000,-0.3200,0.0000,-691.0,-32.17,-0.96,"Master EA|XAUUSD|1h|High-Low Br[sl 2923.16]",1,00:00:28:12,,,,,,,,,,,,
03/07/2025 17:01,03/07/2025 17:20,XAUUSD,Buy,0.040,2929.99000,2924.95000,-0.2600,0.0000,-504.0,-18.83,-0.56,"Master EA|XAUUSD|15m|High-Low B[sl 2925.20]",0,00:00:19:25,,,,,,,,,,,,
03/07/2025 03:00,03/07/2025 03:41,BTCUSD,Sell,0.010,85474.84000,87988.35000,0.0000,0.0000,-2513.5,-23.31,-0.69,"Master EA|BTCUSD|1h|Engulfing[sl 88018.04]",9,00:00:41:16,,,,,,,,,,,,
03/07/2025 02:30,03/07/2025 02:45,BTCUSD,Sell,0.010,86967.21000,85497.89000,0.0000,0.0000,1469.3,13.61,0.40,"Master EA|BTCUSD|15m|Engulfing[tp 85484.02]",8,00:00:15:29,,,,,,,,,,,,
03/07/2025 02:20,03/07/2025 02:36,BTCUSD,Sell,0.010,87554.72000,86366.30000,0.0000,0.0000,1188.4,11.01,0.33,"Master EA|BTCUSD|15m|High-Low B[tp 86365.88]",5,00:00:16:09,,,,,,,,,,,,
03/06/2025 19:27,03/06/2025 21:51,US500,Sell,1.600,5732.80000,5755.40000,0.0000,0.0000,-90.4,-33.46,-0.99,"Master EA|US500|1h|High-Low Bre[sl 5755.33]",12,00:02:23:46,,,,,,,,,,,,
03/06/2025 19:06,03/06/2025 19:20,US500,Sell,1.900,5741.50000,5753.10000,0.0000,0.0000,-46.4,-20.40,-0.60,"Master EA|US500|30m|High-Low Br[sl 5753.06]",11,00:00:14:06,,,,,,,,,,,,
03/05/2025 18:20,03/05/2025 19:10,XAUUSD,Buy,0.030,2927.79000,2919.86000,-0.2000,0.0000,-793.0,-22.27,-0.65,"Master EA|XAUUSD|15m|High-Low B[sl 2920.89]",0,00:00:49:49,,,,,,,,,,,,
03/05/2025 12:45,03/05/2025 14:20,BTCUSD,Buy,0.020,89974.96000,90717.71000,0.0000,0.0000,742.8,13.90,0.41,"Master EA|BTCUSD|15m|Engulfing[tp 90685.44]",8,00:01:35:09,,,,,,,,,,,,
03/05/2025 12:30,03/05/2025 12:34,BTCUSD,Buy,0.030,89566.91000,90217.79000,0.0000,0.0000,650.9,18.26,0.54,"Master EA|BTCUSD|15m|Engulfing[tp 90209.48]",8,00:00:04:32,,,,,,,,,,,,
03/04/2025 03:38,03/04/2025 20:52,BTCUSD,Sell,0.020,84871.00000,86303.40000,0.0000,0.0000,-1432.4,-27.07,-0.79,"Master EA|BTCUSD|1h|High-Low Br[sl 86309.90]",6,00:17:14:08,,,,,,,,,,,,
03/04/2025 03:45,03/04/2025 17:20,BTCUSD,Sell,0.010,83430.43000,81760.23000,0.0000,0.0000,1670.2,15.91,0.47,"Master EA|BTCUSD|15m|Engulfing[tp 81884.47]",8,00:13:35:26,,,,,,,,,,,,
03/04/2025 16:59,03/04/2025 17:17,US500,Sell,1.100,5769.90000,5744.40000,0.0000,0.0000,102.0,26.68,0.79,"Master EA|US500|2h|High-Low Bre[tp 5744.62]",13,00:00:17:28,,,,,,,,,,,,
03/04/2025 16:45,03/04/2025 17:00,BTCUSD,Buy,0.010,84044.21000,82794.85000,0.0000,0.0000,-1249.4,-11.87,-0.35,"Master EA|BTCUSD|15m|Engulfing[sl 82800.49]",8,00:00:15:12,,,,,,,,,,,,
03/04/2025 15:30,03/04/2025 15:42,BTCUSD,Sell,0.020,82339.00000,83248.69000,0.0000,0.0000,-909.7,-17.27,-0.51,"Master EA|BTCUSD|15m|High-Low B[sl 83236.60]",5,00:00:12:05,,,,,,,,,,,,
03/04/2025 03:38,03/04/2025 03:41,BTCUSD,Sell,0.010,84884.49000,83765.12000,0.0000,0.0000,1119.4,10.66,0.31,"Master EA|BTCUSD|15m|High-Low B[tp 83768.34]",5,00:00:03:13,,,,,,,,,,,,
03/03/2025 22:12,03/03/2025 22:16,US500,Sell,1.800,5835.80000,5847.50000,0.0000,0.0000,-46.8,-20.09,-0.59,"Master EA|US500|30m|High-Low Br[sl 5847.22]",11,00:00:04:00,,,,,,,,,,,,
03/03/2025 17:00,03/03/2025 21:52,BTCUSD,Sell,0.010,89179.76000,86159.23000,0.0000,0.0000,3020.5,28.83,0.85,"Master EA|BTCUSD|1h|Engulfing[tp 86179.53]",9,00:04:52:43,,,,,,,,,,,,
03/03/2025 17:00,03/03/2025 17:13,BTCUSD,Sell,0.010,89046.77000,90440.83000,0.0000,0.0000,-1394.1,-13.28,-0.39,"Master EA|BTCUSD|15m|Engulfing[sl 90427.02]",8,00:00:13:10,,,,,,,,,,,,
03/03/2025 16:43,03/03/2025 16:54,BTCUSD,Sell,0.020,91018.00000,90177.14000,0.0000,0.0000,840.9,16.04,0.47,"Master EA|BTCUSD|15m|High-Low B[tp 90156.59]",5,00:00:10:56,,,,,,,,,,,,
03/03/2025 16:45,03/03/2025 16:53,BTCUSD,Sell,0.010,91289.97000,90202.94000,0.0000,0.0000,1087.0,10.37,0.31,"Master EA|BTCUSD|15m|Engulfing[tp 90189.36]",8,00:00:08:56,,,,,,,,,,,,
03/03/2025 14:31,03/03/2025 15:08,XAUUSD,Buy,0.030,2876.93000,2870.17000,-0.2000,0.0000,-676.0,-19.58,-0.58,"Master EA|XAUUSD|15m|High-Low B[sl 2870.42]",0,00:00:37:31,,,,,,,,,,,,
02/28/2025 11:20,,,Deposit,0.000,0.00000,0.00000,0.0000,0.0000,0.0,500.00,0,"CardPay(Unlimit)-FSA 71240321",0,00:00:00:00,,,,,,,,,,,,
