Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
04/21/2025 13:39,05/13/2025 09:18,GBPJPY,Buy,188.70700,195.15000,-0.4700,17.2200,644.3,321.70,0.32,21:19:38:47,93.7,20d 10h ,334.9,0.17,700.3,329.14099999999996,-121.0,-56.87,85.3,93.2,-56.00,-26.32
03/28/2025 14:21,05/13/2025 09:18,GBPJPY,Buy,195.04300,195.15400,-0.3200,24.6600,11.1,28.09,0.03,45:18:56:28,1.6,17h 34m,1042.2,15.65,66.7,22.678,-1042.2,-354.348,6.0,95.0,-55.60,-18.90
05/07/2025 09:03,05/07/2025 09:06,EURNOK,Sell,11.68050,11.68070,-0.5700,0.0000,-2.0,-0.76,0.00,00:00:02:11,,,,,,,,,,,,
04/14/2025 09:47,05/07/2025 09:01,EURNOK,Sell,12.09480,11.68330,-0.9100,7.1600,4115.0,646.92,0.65,22:23:14:12,99.8,22d 22h ,1746.1,0.05,4611.5,737.84,-228.2,-36.512,95.3,89.7,-496.50,-79.44
04/10/2025 09:51,05/07/2025 09:01,EURNOK,Sell,11.83180,11.68250,-0.6600,5.6900,1493.0,179.25,0.18,26:23:09:43,35.0,9d 10h ,3606.8,1.82,1981.5,237.78,-3606.8,-432.81600000000003,35.5,91.3,-488.50,-58.62
04/02/2025 09:11,05/07/2025 09:01,EURNOK,Sell,11.27750,11.68250,-0.4900,5.6000,-4050.0,-349.55,-0.35,34:23:49:57,0.6,5h 2m,9416.4,78.74,118.9,10.701,-9297.5,-836.775,1.3,55.7,-4168.90,-375.20
04/21/2025 10:12,04/21/2025 13:39,GBPJPY,Buy,188.30600,188.69200,-0.4700,0.0000,38.6,18.70,0.02,00:03:26:50,96.2,3h 18m,19.5,0.14,39.3,19.65,-5.5,-2.75,87.7,98.4,-0.70,-0.35
04/21/2025 11:47,04/21/2025 11:47,EURUSD,Buy,1.15582,1.15581,-0.1200,0.0000,-0.1,-0.14,0.00,00:00:00:17,,,,,,,,,,,,
04/21/2025 11:46,04/21/2025 11:46,EURUSD,Sell,1.15582,1.15593,-0.0600,0.0000,-1.1,-0.17,0.00,00:00:00:23,,,,,,,,,,,,
04/21/2025 11:46,04/21/2025 11:46,EURUSD,Buy,1.15589,1.15591,-0.0600,0.0000,0.2,-0.04,0.00,00:00:00:07,,,,,,,,,,,,
04/21/2025 10:14,04/21/2025 10:14,USDCAD,Buy,1.38029,1.38015,-0.0500,0.0000,-1.4,-0.15,0.00,00:00:00:07,,,,,,,,,,,,
04/14/2025 09:43,04/21/2025 10:12,GBPJPY,Buy,187.54900,188.29200,-0.4600,5.6200,74.3,42.12,0.04,07:00:28:31,99.8,7d ,199.6,0.01,198.5,99.25,-2.9,-1.45,98.6,38.3,-124.20,-62.10
04/18/2025 09:19,04/18/2025 09:20,EURUSD,Sell,1.13760,1.13762,-0.0600,0.0000,-0.2,-0.08,0.00,00:00:00:44,,,,,,,,,,,,
04/17/2025 09:25,04/17/2025 09:25,EURUSD,Buy,1.13558,1.13549,-0.0600,0.0000,-0.9,-0.15,0.00,00:00:00:10,,,,,,,,,,,,
04/16/2025 09:43,04/16/2025 09:44,EURUSD,Buy,1.13699,1.13690,-0.0600,0.0000,-0.9,-0.15,0.00,00:00:00:06,,,,,,,,,,,,
04/15/2025 09:46,04/15/2025 09:46,EURUSD,Sell,1.13381,1.13389,-0.0600,0.0000,-0.8,-0.14,0.00,00:00:00:07,,,,,,,,,,,,
04/14/2025 09:41,04/14/2025 09:43,GBPJPY,Buy,187.46100,187.51800,-0.4600,0.0000,5.7,2.34,0.00,00:00:02:27,,,,,,,,,,,,
04/10/2025 09:49,04/10/2025 09:49,EURUSD,Buy,1.09730,1.09734,-0.0500,0.0000,0.4,-0.01,0.00,00:00:00:14,,,,,,,,,,,,
03/28/2025 14:41,04/02/2025 09:10,EURNOK,Sell,11.31270,11.27840,-0.4800,0.4600,343.0,29.53,0.03,04:18:28:52,18.2,20h 50m,1329.2,2.51,449.0,40.41,-1124.6,-101.21399999999998,28.5,93.3,-106.00,-9.54
03/31/2025 09:14,03/31/2025 09:14,EURUSD,Sell,1.08292,1.08291,-0.0500,0.0000,0.1,-0.04,0.00,00:00:00:07,,,,,,,,,,,,
03/28/2025 14:12,03/28/2025 14:41,EURNOK,Sell,11.31690,11.31350,-0.4800,0.0000,34.0,2.44,0.00,00:00:28:22,17.3,4m,53.0,0.93,56.8,5.111999999999999,-53.0,-4.77,51.7,79.2,-22.80,-2.05
03/28/2025 14:09,03/28/2025 14:20,GBPJPY,Buy,194.97900,195.00900,-0.3200,0.0000,3.0,0.68,0.00,00:00:11:25,18.2,2m,5.1,1.70,3.0,0.99,-5.1,-1.683,37.0,100.0,0.00,0.00
03/28/2025 14:09,03/28/2025 14:09,GBPJPY,Buy,194.95500,194.96700,-0.3200,0.0000,1.2,0.08,0.00,00:00:00:22,,,,,,,,,,,,
03/28/2025 14:06,03/28/2025 14:09,GBPJPY,Buy,194.93500,194.94000,-0.3200,0.0000,0.5,-0.15,0.00,00:00:02:42,,,,,,,,,,,,
03/28/2025 13:30,,,Deposit,0.00000,0.00000,0.0000,0.0000,0.0,100000.00,0,00:00:00:00,,,,,,,,,,,,

