Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,04/09/2025 22:06,04/10/2025 00:43,XAUUSD,Buy,3.170,0.00000,0.00000,3073.03000,3095.84000,0.0000,0.0000,2281.0,7227.92,0.86,"XAU ZC-01 HL 6",6549,00:02:36:09,98.1,2h 33m,950.0,0.05,2752.0,8723.84,-147.0,-465.99,94.9,83.8,-471.00,-1493.07
,04/09/2025 19:10,04/09/2025 19:28,XAUUSD,Buy,3.140,0.00000,0.00000,3089.35000,3089.85000,0.0000,0.0000,50.0,156.06,0.02,"XAU ZC-01 HL 1",6543,00:00:18:42,77.8,14m,483.0,0.90,533.0,1662.96,-480.0,-1497.6000000000001,52.6,52.3,-483.00,-1506.96
,04/09/2025 19:04,04/09/2025 19:28,XAUUSD,Buy,4.190,0.00000,0.00000,3073.68000,3089.76000,0.0000,0.0000,1608.0,6739.20,0.80,"XAU ZC-01 HL 6",6549,00:00:24:36,100.0,24m,525.0,0.00,2100.0,8799.0,0.0,0.0,100.0,76.6,-492.00,-2061.48
,04/09/2025 18:40,04/09/2025 18:44,XAUUSD,Buy,4.210,0.00000,0.00000,3073.64000,3064.51000,0.0000,0.0000,-913.0,-3845.41,-0.46,"XAU ZC-01 HL 6",6549,00:00:04:09,0.0,0s,949.0,1000.00,0.0,0.0,-949.0,-3995.29,0.0,3.8,-913.00,-3843.73
,04/09/2025 17:59,04/09/2025 18:32,XAUUSD,Sell,4.230,0.00000,0.00000,3059.75000,3069.20000,0.0000,0.0000,-945.0,-3996.08,-0.47,"XAU ZC-01 Ranging lvl",6555,00:00:32:51,48.5,15m,2077.0,1.09,995.0,4208.85,-1082.0,-4576.860000000001,47.9,6.6,-1940.00,-8206.20
,04/09/2025 17:52,04/09/2025 17:58,XAUUSD,Buy,4.250,0.00000,0.00000,3073.84000,3064.18000,0.0000,0.0000,-966.0,-4101.68,-0.48,"XAU ZC-01 HL 6",6549,00:00:05:04,0.0,0s,1032.0,1111.11,0.0,0.0,-1032.0,-4386.0,0.0,6.4,-966.00,-4105.50
,04/09/2025 17:48,04/09/2025 17:50,XAUUSD,Buy,4.270,0.00000,0.00000,3073.64000,3064.14000,0.0000,0.0000,-950.0,-4054.80,-0.48,"XAU ZC-01 HL 6",6549,00:00:02:27,,,,,,,,,,,,
,04/09/2025 17:35,04/09/2025 17:45,XAUUSD,Sell,4.290,0.00000,0.00000,3058.98000,3068.85000,0.0000,0.0000,-987.0,-4234.23,-0.49,"XAU ZC-01 Ranging lvl",6555,00:00:09:35,10.0,57s,1380.0,2.51,393.0,1685.97,-987.0,-4234.2300000000005,28.5,0.0,-1380.00,-5920.20
,04/09/2025 17:29,04/09/2025 17:33,XAUUSD,Sell,4.310,0.00000,0.00000,3059.55000,3069.98000,0.0000,0.0000,-1043.0,-4494.47,-0.52,"XAU ZC-01 Ranging lvl",6555,00:00:04:17,25.0,1m,1738.0,1.50,695.0,2995.45,-1043.0,-4495.33,40.0,0.0,-1738.00,-7490.78
,04/09/2025 17:03,04/09/2025 17:25,XAUUSD,Buy,4.360,0.00000,0.00000,3089.15000,3071.06000,0.0000,0.0000,-1809.0,-7885.50,-0.91,"XAU ZC-01 HL 1",6543,00:00:21:52,36.4,7m,2508.0,2.59,699.0,3047.6400000000003,-1809.0,-7887.240000000001,27.9,0.0,-2508.00,-10934.88
,04/09/2025 17:24,04/09/2025 17:25,XAUUSD,Buy,3.270,0.00000,0.00000,3074.68000,3070.33000,0.0000,0.0000,-435.0,-1420.49,-0.16,"XAU ZC-01 HL 6",6549,00:00:00:21,,,,,,,,,,,,
