Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(JPY),Min(pips),Min(JPY),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(JPY)
01/27/2026 21:55,01/28/2026 10:03,XAUUSD,Buy,5098.88000,5294.58000,0.0000,-691.0000,19570.0,178623.00,10.59,00:12:08:13,92.5,11h 13m,3855.0,0.00,20668.0,189318.88,0.0,0.0,100.0,94.7,-1098.00,-10057.68
01/27/2026 18:19,01/28/2026 04:53,XAUUSD,Buy,5101.25000,5228.85000,0.0000,-115.0000,12760.0,19388.00,1.16,00:10:34:03,88.1,9h 18m,2238.0,0.10,14405.0,22039.65,-1402.0,-2145.06,91.1,89.6,-1645.00,-2516.85
01/27/2026 09:42,01/28/2026 04:53,XAUUSD,Buy,5101.15000,5228.44000,0.0000,-115.0000,12729.0,19339.00,1.17,00:19:11:03,48.1,9h 13m,4697.0,0.33,14415.0,22054.95,-4697.0,-7186.41,75.4,91.2,-1686.00,-2579.58
01/26/2026 16:52,01/27/2026 14:00,XAUUSD,Buy,5091.87000,5076.19000,0.0000,-115.0000,-1568.0,-2526.00,-0.15,00:21:07:42,5.9,1h 14m,9720.0,8.27,1049.0,1615.46,-8671.0,-13353.34,10.8,73.1,-2617.00,-4030.18
01/27/2026 09:42,01/27/2026 13:51,XAUUSD,Buy,5101.17000,5068.56000,0.0000,0.0000,-3261.0,-35090.00,-2.08,00:04:08:54,0.0,0s,3261.0,3333.33,0.0,0.0,-3261.0,-35088.36,0.0,0.0,-3261.00,-35088.36
01/23/2026 18:02,01/26/2026 11:50,XAUUSD,Buy,4965.84000,5082.22000,0.0000,-692.0000,11638.0,106591.00,6.75,02:17:48:12,99.7,2d 17h ,2848.0,0.01,13105.0,120828.1,-149.0,-1373.7800000000002,98.9,88.9,-1467.00,-13525.74
01/23/2026 17:43,01/26/2026 03:41,XAUUSD,Buy,4960.40000,5077.18000,0.0000,-115.0000,11678.0,17932.00,1.15,02:09:58:04,100.0,2d 9h ,1660.0,0.00,12809.0,19853.95,0.0,0.0,100.0,91.2,-1131.00,-1753.05
01/22/2026 18:19,01/23/2026 16:00,XAUUSD,Buy,4879.21000,4938.79000,0.0000,-121.0000,5958.0,9310.00,0.60,00:21:41:01,100.0,21h 41m,5990.0,0.00,9201.0,14537.58,0.0,0.0,100.0,64.8,-3243.00,-5123.94
01/22/2026 18:38,01/23/2026 15:30,XAUUSD,Buy,4884.16000,4931.59000,0.0000,-845.0000,4743.0,51650.00,3.44,00:20:51:33,100.0,20h 51m,5990.0,0.00,8097.0,89633.79000000001,0.0,0.0,100.0,58.6,-3354.00,-37128.78
01/22/2026 07:42,,,Deposit,0.00000,0.00000,0.0000,0.0000,0.0,1500000.00,0,00:00:00:00,,,,,,,,,,,,

